Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
19261014,1.46,0.58,1.05,0.76,1.05,0.37,0.84,0.76,0.6,1.3
19261015,-1.42,-3.13,-2.35,-1.13,-2.51,0.04,-1.95,-0.48,-1.53,-1.92
19261016,-0.59,-2.1,-0.97,-0.36,-0.11,-0.03,-1.41,-0.47,-0.26,-0.6
19261018,0.17,1.36,0.84,0.34,0.9,-0.45,1.19,-0.37,1.74,0.78
19261019,-0.69,-2.53,-1.42,-0.65,-1.2,0.03,-1.55,0.14,-0.96,-0.77
19261020,-0.33,0.01,-0.68,-0.62,0.98,0.12,1.36,-0.73,-0.27,-0.41
19261021,1.16,2.19,1.85,1.07,1.6,0.44,1.76,0.75,1.04,1.97
19261022,0.3,-1.25,-0.27,-0.27,-0.69,-0.1,-1.27,0.12,-0.27,-0.39
19261023,0.78,1.07,0.7,0.73,-0.07,-0.01,1,0.87,0.4,0.25
19261025,-0.18,-0.51,-0.42,0.39,0.39,-0.05,-0.49,0.17,-0.05,0.04
19261026,0.08,0.28,0.5,-0.02,-0.16,0.1,1.04,-0.27,0.36,0.59
19261027,1.14,1.82,1.31,0.18,0.82,0.11,1.49,0.43,0.78,1.23
19261028,0.12,-0.37,-0.34,0.84,-0.18,0,-0.69,0.51,-0.02,-0.36
19261029,-0.18,-0.29,-0.07,0.36,-0.26,-0.04,-0.17,-0.05,0.11,-0.07
19261030,-0.16,-0.22,-0.35,-0.15,-0.43,0.05,-0.51,-0.5,-0.1,-0.23
19261101,0.3,0.13,0.44,1.59,0.25,-0.06,0.16,-0.12,0.04,0.39
19261103,0.2,1.61,0.41,-0.66,0.41,0.13,-0.35,-0.2,0.11,0.22
19261104,0.23,0.12,0.78,0.72,0.49,0.16,1.29,0.01,0.3,0.84
19261105,0.06,-0.56,0.23,-0.49,0.72,0.32,0.08,1.56,0.6,0.21
19261106,0.4,-0.73,0.2,0.19,-0.27,0.22,0.75,0.78,0.44,0.23
19261108,0.2,-0.32,1.16,0.36,1.42,0.45,1.24,0.31,-0.06,0.41
19261109,0.64,0.85,0.3,-0.16,-0.72,0.01,0.19,-0.18,0.79,-0.24
19261110,-0.47,-1.02,-0.65,-0.95,-0.7,0.01,-0.61,0.1,0.03,-0.55
19261111,0.32,0.53,0.86,0.89,0.36,-0.02,2,0.8,1.17,0.4
19261112,0.46,0.01,0.85,0.15,-0.18,-0.04,0.09,-0.07,-0.09,0.17
19261113,-0.06,-0.14,-0.31,-0.73,-0.02,0.1,-0.35,-0.15,-0.18,-0.08
19261115,0.78,0.77,0.61,0.54,-0.68,0.24,0.32,-0.03,0.01,0.19
19261116,0.01,0.18,0.03,-0.31,2.18,-0.46,1.52,0.9,0.11,-0.06
19261117,-0.26,-0.48,-0.92,-0.45,-0.58,0,0.34,-0.03,-0.26,-0.03
19261118,-0.09,-0.81,-0.68,-1.04,-0.22,0.07,-0.69,0.1,-0.29,-0.15
