Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Mkt-Rf
200412,0.048,0.0485,0.0261,-0.0209,0.0319,0.0434,0.0343,0.0566,0.0241,0.0442,-0.0007
200501,-0.0008,-0.0671,-0.0179,0.0302,-0.0612,-0.0393,-0.0108,-0.0405,0.0176,-0.0244,0.0196
200502,0.006,-0.0028,0.0415,0.1903,-0.0018,-0.0015,0.0086,0.0248,0.0232,0.0022,0.0164
200503,-0.0088,-0.0756,-0.0148,-0.0327,-0.024,-0.0011,0,-0.0041,0.0063,-0.024,0.0159
200504,-0.0102,-0.1106,-0.0475,-0.0579,-0.0454,-0.0194,-0.0534,0.0396,0.021,-0.0164,-0.0035
200505,0.0227,0.0865,0.0289,0.0217,0.0775,0.0142,0.0639,0.0145,0.017,0.0338,-0.0081
200506,-0.0161,0.0177,-0.012,0.0585,-0.0157,0.0005,0.0247,-0.0057,0.0557,0.014,0.0263
200507,0.0241,0.0521,0.058,0.0614,0.0601,0.0291,0.0584,0.0374,0.0299,0.0244,-0.0051
200508,0.001,-0.0273,-0.014,0.0571,-0.0058,-0.0114,-0.0557,-0.0033,0.0116,-0.017,0.0127
200509,0.0025,-0.048,0.0075,0.0705,0.0075,-0.0158,-0.0175,-0.0195,0.0439,0.0122,0.0076
200510,-0.0181,-0.0417,-0.0243,-0.1001,-0.0164,-0.0308,0.0162,-0.0326,-0.0685,0.0125,0.0023
200511,0.0101,0.0228,0.0531,0.0138,0.0654,0.0242,0.04,0.0157,-0.0019,0.0494,-0.0119
200512,-0.0016,-0.0066,0.0144,0.0072,-0.0181,-0.0159,-0.0061,0.024,0.0123,0.0018,0.0044
200601,0.0018,0.0615,0.0503,0.1269,0.0377,0.0358,0.0199,0.0216,0.0305,0.0154,0.0112
200602,0.0115,-0.0031,0.0119,-0.0822,-0.0125,0.033,0.0144,0.0107,0.0023,0.0109,-0.0025
200603,0.0123,0.0277,0.0296,0.042,0.0297,0.0187,0.0241,-0.0096,-0.0364,0.0186,0.006
200604,0.0103,0.0053,0.0401,0.0464,-0.0108,0.0156,-0.0166,-0.0193,0.0185,0.0224,0.026
200605,0.013,0.005,-0.0331,-0.0338,-0.0679,-0.0012,-0.0193,-0.0219,0.0152,-0.0323,0.0255
200606,-0.0008,0.0192,-0.0051,0.0258,-0.0118,0.0288,0.0027,-0.0014,0.0241,-0.0032,0.0088
200607,0.0349,-0.0316,-0.0378,0.047,-0.0392,0.0226,-0.0431,0.0427,0.0487,-0.0111,0.0294
200608,0.0309,0.0206,0.0208,-0.0356,0.0719,0.0224,0.0205,0.0229,0.0235,0.0163,-0.0171
200609,-0.0031,0.0427,0.0192,-0.0353,0.0367,0.0342,0.0576,0.0167,-0.0215,0.0336,0.0005
200610,0.0259,0.0513,0.0436,0.0502,0.0428,0.0545,0.0391,0.0165,0.0536,0.0289,-0.0004
200611,0.0144,0.0186,0.0358,0.0856,0.0302,0.0069,-0.0131,0.0005,0.0303,0.0174,0.0007
200612,0.0198,-0.0079,0.0051,-0.0207,-0.0099,0.0436,0.0145,0.0008,0.007,0.0322,0.0315
200701,0.0135,0.0271,0.0323,-0.0131,0.0218,0.0288,0.0355,0.035,0.0038,0.0109,-0.0011
200702,-0.0179,-0.0043,0.008,-0.0217,-0.0249,-0.025,-0.0063,-0.028,0.0425,-0.0231,-0.0009
200703,0.0247,-0.0107,0.0158,0.0599,0.0091,0.0232,0.0073,-0.0021,0.0434,-0.0027,-0.0022
200704,0.0374,0.0626,0.044,0.0539,0.0491,0.0211,0.0223,0.0684,0.0392,0.0339,-0.0115
200705,0.0281,0.0342,0.0484,0.0719,0.039,0.0668,0.0251,0.0111,0.012,0.0335,-0.0004
200706,-0.0086,0.0212,-0.006,0.0104,0.0061,-0.0173,-0.0195,-0.034,-0.0478,-0.0268,-0.0112
200707,-0.0426,-0.059,-0.001,-0.0102,-0.0126,-0.0315,-0.0536,-0.0404,-0.0382,-0.0546,-0.0333
200708,0.0183,-0.0178,0.0074,0.003,0.0269,-0.008,0.014,0.0231,0.0193,0.0089,-0.0224
200709,0.0376,0.016,0.054,0.078,0.0419,0.0197,-0.0072,0.0358,0.0357,0.0268,-0.0186
200710,0.022,0.0104,0.0096,0.0274,0.0684,-0.0229,0.0107,0.0144,0.0669,-0.0012,-0.026
200711,0.0104,-0.0872,-0.0264,-0.04,-0.0742,-0.0675,-0.0377,0.0003,-0.0069,-0.0631,-0.0118
200712,-0.0111,-0.0189,0.0089,0.076,0.0142,-0.002,-0.0272,-0.0407,0.0089,-0.0361,-0.0051
200801,-0.0495,-0.0594,-0.0744,-0.0934,-0.1231,-0.0766,-0.0042,-0.0455,-0.0692,-0.0197,0.0365
200802,-0.0022,-0.0591,0.0076,0.0716,-0.037,-0.0381,-0.0485,-0.0092,-0.0301,-0.0832,-0.0094
200803,0.0118,-0.0414,0.0004,-0.028,0.0073,-0.0021,0.0188,-0.0179,0.0088,-0.0173,-0.0014
200804,-0.0138,0.0663,0.0495,0.1071,0.0683,0.0442,0.0518,0.0041,0.0633,0.0364,-0.0095
200805,0.0367,0.0175,0.0331,0.0437,0.0542,0.048,0.0105,0.0163,0.0357,-0.0243,-0.0138
200806,-0.0737,-0.193,-0.0932,0.0291,-0.0898,-0.1105,-0.081,-0.0301,-0.0058,-0.1483,-0.0242
200807,0.0191,-0.0021,-0.0022,-0.1569,-0.0082,-0.0301,0.0115,0.0676,-0.0723,0.0433,0.0588
200808,0.0191,0.0247,0.0151,-0.0017,0.0236,0.0409,0.0538,0.0179,-0.005,0.003,0.0152
200809,-0.0296,-0.0919,-0.1334,-0.1246,-0.1254,-0.127,-0.0578,-0.0595,-0.1211,-0.0678,0.0633
200810,-0.1219,-0.3263,-0.2075,-0.1723,-0.1823,-0.1635,-0.1512,-0.1096,-0.1107,-0.2003,-0.0289
200811,-0.0673,-0.1144,-0.0782,-0.0045,-0.1123,-0.0182,-0.0768,-0.0736,0.0108,-0.121,-0.0602
200812,0.003,0.013,0.0141,-0.0313,0.0231,0.0344,0.0491,0.0675,-0.0208,0.0138,-0.0025
200901,-0.0363,-0.1248,-0.0923,-0.0311,-0.0315,-0.1035,-0.0762,-0.022,-0.0081,-0.1834,-0.1118
200902,-0.0759,-0.1282,-0.135,-0.1195,-0.0494,-0.0715,-0.031,-0.0992,-0.1265,-0.1402,-0.0727
200903,0.0638,0.1283,0.0758,0.0376,0.1128,0.0764,0.0994,0.0705,0.0279,0.1289,0.0356
200904,0.0478,0.4263,0.1751,0.052,0.1238,0.1043,0.0955,-0.0095,0.0213,0.1636,0.0553
200905,0.0676,-0.0282,0.0539,0.1077,0.0317,0.0152,-0.009,0.0626,0.0466,0.0774,-0.0023
200906,0.0034,0.0371,-0.017,-0.0484,0.0435,0.0163,-0.0032,0.0354,0.0466,-0.0192,-0.0272
200907,0.0744,0.1843,0.1141,0.0531,0.0826,0.0542,0.0675,0.0552,0.0435,0.0891,0.0528
200908,0.0083,0.0265,0.0294,0.0073,0.0237,0.0103,0.0369,0.0219,0.0021,0.0806,0.0775
200909,0.0432,0.0308,0.0645,0.0519,0.0524,0.0634,0.0238,0.024,0.0233,0.0321,0.0093
200910,-0.0069,-0.0025,-0.0271,0.0223,-0.014,-0.0355,0.0006,-0.0367,-0.0274,-0.0523,-0.0418
200911,0.0382,0.0946,0.076,0.0317,0.0497,0.0649,0.0504,0.0822,0.0451,0.0576,-0.0017
200912,0.0267,0.0507,0.028,-0.0055,0.0589,0.0625,0.0197,0.0245,0.0586,0.0123,0
201001,-0.0233,-0.0087,-0.0327,-0.0473,-0.0784,-0.0684,-0.0185,0,-0.045,-0.0165,0.003
201002,0.0272,0.073,0.0518,0.0241,0.0476,0.0292,0.0429,0.0038,-0.0043,0.0338,0.0316
201003,0.0598,0.0928,0.0652,0.0317,0.0667,0.0788,0.0624,0.0361,0.031,0.0843,0.0211
201004,-0.0093,0.072,0.0324,0.036,0.0216,0.0382,0.0256,-0.0223,0.0286,0.0215,0.0281
201005,-0.0568,-0.087,-0.0831,-0.107,-0.0767,-0.0591,-0.0534,-0.0801,-0.0631,-0.0882,-0.0238
201006,-0.0194,-0.1031,-0.0575,-0.0641,-0.0616,-0.0433,-0.0903,-0.0163,-0.0072,-0.0765,-0.045
201007,0.0737,0.1502,0.0959,0.0774,0.075,0.0974,0.0462,0.0214,0.0679,0.0748,-0.0026
201008,-0.0125,-0.0948,-0.0551,-0.0338,-0.0645,-0.0223,-0.0393,-0.0166,0.0041,-0.0755,-0.0195
201009,0.062,0.1363,0.1011,0.0964,0.1243,0.0786,0.1208,0.0901,0.0364,0.0882,-0.0313
201010,0.0435,0.084,0.0513,0.0438,0.0638,0.0481,0.0243,0.02,0.0186,0.026,-0.026
201011,0.0005,0.0728,0.0148,0.0559,-0.0082,-0.0186,0.0418,-0.0334,-0.0131,0.0052,-0.009
201012,0.0437,0.0854,0.0701,0.0937,0.0604,0.0671,0.0326,0.0541,0.0322,0.0973,0.0382
201101,-0.0235,0.0048,0.0283,0.0693,0.0393,0.0005,-0.0088,-0.0071,0.0223,0.0197,0.0082
201102,0.0486,-0.014,0.0343,0.0765,0.0231,0.0759,0.0228,0.0333,0.0243,0.0266,0.011
201103,0.0305,0.0173,0.0184,0.0191,-0.0158,0.0177,0.011,0.023,0.0091,-0.0087,-0.0158
