Date,state,seq
2017/12/1,1,1
2018/1/1,1,1
2018/2/1,1,2
2018/3/1,3,2
2018/4/1,1,1
2018/5/1,1,1
2018/6/1,1,1
2018/7/1,1,1
2018/8/1,4,1
2018/9/1,4,1
2018/10/1,2,2
2018/11/1,4,1
2018/12/1,4,2
2019/1/1,3,1
2019/2/1,1,1
2019/3/1,1,1
2019/4/1,2,1
