Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
19260821,0.09,0.35,0.74,0.39,0.24,0.73
19260823,0.13,-0.21,0.91,0.81,0.2,1.26
19260824,-0.6,-0.78,-0.37,-1.1,-0.64,-1.52
19260825,-0.48,-0.66,-0.52,-0.31,-0.35,0.29
19260826,0.85,0.34,1.22,0.54,0.42,1.18
19260827,0.63,0.65,-0.15,0.19,0.38,0.18
19260828,0.2,0.88,0.19,0.37,0.19,0.26
19260830,-0.03,0.32,0.48,-0.13,0.67,0.21
19260831,0.36,-0.14,0.15,0.55,0.71,0.68
19260901,1.28,0.95,1.02,0.58,0.42,0.69
19260902,-0.52,-0.11,0.03,-0.18,0.12,-0.33
19260903,0.59,-0.02,0.24,0.36,0.58,0.77
19260907,0.36,-0.18,0.58,0.96,0.3,0.25
19260908,-1.24,-0.35,-0.63,-0.52,-0.44,-0.96
19260909,-0.01,0.29,0.27,-0.02,-0.13,0.21
19260910,-0.75,-0.43,-0.99,-0.82,-0.79,-0.83
19260911,-0.22,-0.28,0,-0.57,-0.35,-0.54
19260913,-0.8,0.2,0.22,-0.04,0.04,-0.06
19260914,0.37,0.11,0.78,1.37,0.62,1.14
19260915,0.22,0.1,0.08,-0.2,-0.17,-0.43
19260916,-1.12,0.01,-0.63,-0.09,-0.28,-0.37
19260917,-1.19,-1.44,-1.25,-1.02,-0.86,-1.52
19260918,0.9,0.5,0.25,0.76,0.56,1.18
19260920,-0.91,-0.6,-0.61,-0.65,-0.61,-0.96
19260921,-0.16,0.29,-0.06,0.38,0.32,0.65
19260922,-0.19,-0.45,0.09,-0.21,0,-0.51
19260923,-0.16,0.21,0.04,0.18,0.28,0.1
19260924,0.61,0.5,0.51,0.8,0.55,0.84
19260925,0.52,0.14,-0.24,0.28,0.17,-0.08
19260927,-0.01,-0.12,0.52,-0.06,-0.16,0.18
19260928,0.07,0.11,-0.37,0.06,0,-0.19
19260929,0.1,0.17,-0.42,-0.33,-0.29,-0.19
19260930,-0.25,0.39,0.15,0.5,0.25,0.21
19261001,0.48,0.66,0.46,1.2,0.44,0.76
19261002,-0.23,0.01,-0.22,-0.1,-0.03,-0.26
19261004,-1.71,-1.34,-1.74,-1.52,-1.29,-1.69
19261005,-0.3,-1.24,-1,-1.01,-1.13,-1.73
19261006,-1.22,-1.37,-1.34,-0.56,-0.28,-1
19261007,-0.58,-0.44,-0.29,-1,-0.59,-0.69
19261008,-0.23,0.7,0.66,0.79,0.35,1.08
19261009,-0.45,-0.44,-0.68,-1.11,-0.78,-0.99
19261011,-0.57,-1.23,-0.72,-0.82,-0.49,-0.98
19261013,1.02,0.28,0.46,0.79,0.65,1.26
19261014,0.01,0.62,1.48,0.97,0.89,1.66
19261015,-1.8,-1.98,-2.02,-2.19,-1.48,-2.54
19261016,-1.18,-1.02,-0.81,-0.97,-0.5,-0.5
19261018,-0.19,0.85,1,0.91,0.57,0.64
19261019,-0.4,-0.41,-1.54,-1.45,-0.72,-1.38
19261020,-0.45,-0.91,-1.53,0.22,-0.29,-1.05
19261021,1.43,1.28,2.1,1.64,1.45,2.08
19261022,0.2,-0.74,0.4,-0.72,-0.22,-0.52
19261023,0.95,0.92,1.32,0.66,0.34,0.67
19261025,0.62,0,0.3,-0.18,-0.03,0.08
19261026,0.24,0.19,0.73,0.33,0.35,0.43
19261027,0.69,0.97,0.62,1.24,0.76,1.69
19261028,0.31,0.42,0.8,-0.21,-0.05,-0.29
19261029,0,-0.16,-0.27,-0.02,-0.04,-0.42
19261030,-0.39,0.02,-0.03,-0.46,-0.21,-0.32
19261101,1.01,0.25,0,0.48,0.48,0.63
19261103,0.28,-0.09,-0.18,0.37,0.07,0.28
19261104,0.28,0.71,1.08,0.61,0.69,1.2
19261105,-0.01,0.03,0.1,-0.08,0.19,0.27
19261106,0.02,0.21,-0.35,-0.02,0.33,0.45
19261108,0.51,0.43,0.62,0.55,0.61,0.59
19261109,0.44,-0.15,0.37,0.33,0.06,-0.58
19261110,-0.52,-0.39,-0.48,-0.68,-0.64,-0.53
19261111,0.42,1.24,0.52,0.69,0.64,0.77
19261112,0.59,0.08,0.03,0.3,0.36,0.12
19261113,0.16,-0.27,-0.3,-0.32,-0.27,-0.18
19261115,0.59,0.62,0.31,0.21,0.46,-0.01
19261116,-0.64,0.1,0.06,0.7,-0.14,-0.11
19261117,-1.16,-0.21,-0.49,-0.34,-0.39,-0.09
19261118,-0.34,-0.17,-0.21,-0.48,-0.53,-0.22
19261119,0,-0.26,-0.09,-0.8,-0.66,-0.58
19261120,0.48,0.36,0.51,0.32,0.47,0.53
19261122,0.92,0.97,0.57,0.76,0.53,0.7
19261123,0.16,0.08,0.69,0.32,0.35,0.19
19261124,-0.26,0.25,0.03,0.19,0.2,0.29
19261126,0.27,0.3,0.28,0.35,0.14,0.42
19261127,0.01,-0.24,-0.39,-0.11,-0.12,-0.28
19261129,-0.59,-0.04,-0.71,-0.48,-0.23,-0.24
19261130,0.59,-0.21,0.12,0.33,0.28,-0.2
19261201,0.59,0.73,-0.02,0.49,0.25,0.4
19261202,0.93,-0.04,0.88,0.48,0.59,0.74
19261203,0.27,0.05,0.59,0.61,0.03,0.41
19261204,-0.33,0.22,-0.03,-0.27,-0.1,-0.36
19261206,0.62,0.38,-0.04,0.03,0.02,-0.06
19261207,0.7,0.04,-0.1,-0.06,-0.06,-0.29
19261208,0.49,-0.01,0.46,-0.05,-0.11,0.47
19261209,0.29,0.43,0.67,0.46,0.4,0.96
19261210,0.26,0.13,0.56,0.14,0.46,0.85
19261211,0.55,-0.24,-0.43,0.01,0.18,-0.02
19261213,0.6,0.89,1.27,0.69,0.13,0.03
19261214,0.06,0.09,0.18,0.12,0.18,0.29
19261215,-0.31,-0.44,0.35,0.14,0.2,-0.09
19261216,-1.23,-0.57,-0.92,-0.71,-0.48,-0.92
19261217,0.08,0.41,0.7,0.74,1.21,1.47
19261218,-0.09,0.05,0.59,0.55,0.38,0.29
19261220,-0.12,-0.18,-0.42,-0.36,-0.27,-0.33
19261221,-0.58,0.04,-0.75,0.08,-0.1,-0.13
19261222,-0.05,-0.13,-0.51,0.34,-0.19,-0.26
19261223,0.55,0.34,-0.14,0.31,0.33,0.07
19261224,0,0.18,1.13,0.58,0.12,-0.03
19261227,-0.02,-0.59,-0.77,-0.37,-0.17,-0.42
19261228,-1.44,-0.78,-1.56,-1.18,-1.03,-1.37
19261229,0.51,-0.03,0.5,0.58,0.39,0.47
19261230,-0.01,0.36,-0.13,-0.64,-0.15,-0.32
19261231,0.31,0.48,1.23,0.16,0.38,0.57
19270103,-0.42,-1,-0.49,-1.07,-0.58,-0.83
19270104,0.98,0.5,-0.08,0.55,0.16,0.25
19270105,0.95,0.25,0.49,0.31,-0.07,0.15
19270106,-0.11,-0.14,-0.18,-0.21,-0.24,0.01
19270107,0.68,-0.19,0.57,0.23,0.37,1.22
19270108,0.04,0.98,0.1,0.34,0.51,0.82
19270110,0.44,0.12,0.28,0.1,0.11,0.59
19270111,-1.19,0.03,-0.27,-0.52,-0.15,0.3
19270112,-0.37,0.15,0.02,0.1,0.15,-0.26
19270113,0.23,0.18,-0.24,-0.21,0.12,-0.34
19270114,-0.79,-0.92,-0.06,-0.25,0.17,0.87
19270115,0.01,0.59,0.8,0.07,0.09,0.94
19270117,-0.36,-0.09,0.26,-0.32,0.07,0.61
19270118,-0.23,-0.72,0.16,0.23,-0.22,-0.14
19270119,1.06,0.49,0.06,0.82,0.51,0.29
19270120,-0.4,-0.17,-0.47,-0.13,-0.21,0.2
19270121,-0.14,-0.11,2.16,-0.07,-0.01,0.2
19270122,-0.2,-0.29,0.3,-0.45,-0.23,-0.28
19270124,-0.75,0.12,1.15,-0.7,-0.47,0.29
19270125,-1.56,-1.7,-2.49,-0.82,-1.04,-2.48
19270126,-0.07,0.35,0.85,0.26,0.2,0.31
19270127,-0.29,-0.34,-0.77,-0.38,-0.29,-0.73
19270128,-0.27,0.25,1.15,0.26,0.06,0.34
19270129,0.91,0.65,-0.05,0.84,0.67,1.23
19270131,0.9,0.77,0.73,0.77,0.39,0.86
19270201,-0.12,0.21,1.71,-0.05,-0.07,0.33
19270202,0.63,0.23,0.86,0.85,0.68,0.81
19270203,0.27,0.58,0.3,0.3,0.09,0.13
19270204,0.02,0.19,1.64,-0.08,0.51,1.06
19270205,0.07,0.22,0.38,-0.36,-0.13,0.22
19270207,-0.14,0.22,1.27,0.04,-0.19,-0.42
19270208,-0.07,0.22,1.2,-0.06,0.09,0.73
19270209,-0.41,0.07,-1.8,0.1,0.04,0.35
19270210,0.88,0.56,-0.27,0.22,0.12,-0.02
19270211,0.17,0.4,-0.95,0.36,0.35,0.22
19270214,0.43,0.78,0.12,0.84,0.32,0.58
19270215,0.5,-0.17,-0.48,-0.05,0.13,0.6
19270216,-0.52,0.21,1.13,-0.37,0.11,1.08
19270217,0.65,0.48,0.86,-0.06,0.38,1.45
19270218,-0.53,-0.32,-0.58,0.26,0.43,0.06
19270219,0.48,-0.02,0.28,0.23,-0.12,-0.52
19270221,0.3,-0.25,-0.62,-0.04,-0.19,-0.91
19270223,0.52,0.7,0.42,1.15,0.5,0.98
19270224,0.52,0.54,0.53,0.11,0.17,0.27
19270225,0.16,0.62,0.35,0.59,0.08,-0.26
19270226,0.48,-0.14,-0.25,0.01,0,0.64
19270228,-0.2,0.88,0.29,0.95,0.22,0.95
19270301,-0.69,-0.2,-0.92,-0.3,-0.27,-1.16
19270302,-1.02,-1.77,-1.45,-1.31,-0.98,-1.55
19270303,0.97,0.77,1.33,1.24,0.99,0.99
19270304,-0.03,-0.84,-0.14,-0.41,-0.6,-0.63
19270305,0.5,0.16,-0.06,-0.24,-0.33,-0.61
19270307,-0.7,-0.1,-1.13,-0.25,-0.42,-0.97
19270308,-0.13,-0.51,-0.41,0.48,-0.01,0.08
19270309,0.51,1.29,0.81,0.68,0.34,1.07
19270310,0.13,0.6,0.91,0.35,0.5,0.48
19270311,0.04,-0.17,0.2,0.13,0.24,0.44
19270312,0.2,-0.09,-0.2,0.1,-0.13,0.13
19270314,0.49,0.26,-0.21,0.64,-0.02,-0.21
19270315,-0.85,-0.67,-1.5,-0.89,-0.72,-1.11
19270316,0.71,0.21,0.59,0.88,1.25,0.89
19270317,0.17,-0.03,-0.21,0.39,0.53,-0.06
19270318,-0.99,-0.69,-0.92,-0.57,-0.88,-1.48
19270319,0.08,-0.03,-0.06,0.08,0.09,-0.2
19270321,-0.37,-0.42,-0.32,0.05,0.36,0.1
19270322,-0.85,-1.29,-1.27,-1.24,-0.8,-1.9
19270323,0.08,0.09,0.6,0.04,0.18,0.53
19270324,0.57,1.14,0.53,0.83,0.54,0.99
19270325,0.6,0.8,0.15,0.2,0.02,-0.02
19270326,0.35,0.11,0.76,0.21,0.43,0.16
19270328,0.24,1.07,0.13,0.76,0.4,1.01
19270329,-0.52,0.42,-0.96,-0.11,-0.2,-0.48
19270330,-0.95,-0.73,0.89,-0.58,-0.62,0.07
19270331,-0.46,-0.3,-0.23,0.16,0.37,1.03
19270401,-0.12,0.21,-0.62,0.12,-0.06,0
19270402,0.29,-0.02,0.28,0.05,-0.15,0.1
19270404,0.23,0.33,1.48,0.55,0.56,1.54
19270405,0.46,-0.16,0.73,0.87,0.44,0.62
19270406,-0.01,0.38,-0.29,0,0.17,0.2
19270407,-0.18,-0.11,0.13,0.12,0.3,0.48
19270408,0.89,-0.18,1.18,0.62,0.01,0.22
19270409,-0.59,-0.36,0.36,0.15,-0.14,-0.23
19270411,0.19,0.06,0.21,0.39,-0.01,0.09
19270412,-0.23,0.06,0.12,-0.47,-0.21,-1.06
19270413,1.11,0.47,-0.5,0.65,0.06,-0.03
19270414,0.8,0.5,0.12,-0.09,0.2,0.19
19270416,0.49,0.77,0.86,0.21,0.06,0.2
19270418,-0.62,-0.1,0.47,-0.03,-0.11,0.4
19270419,-0.26,0.32,0.44,0.36,0.08,0.31
19270420,-0.8,0.03,0.8,0.3,0.28,0.57
19270421,0.25,0.62,-0.4,1.06,-0.03,0.19
19270422,-0.69,-0.17,-0.04,0.37,-0.03,-0.2
19270423,0.08,-0.21,-0.12,-0.45,-0.26,-0.25
19270425,-1.77,-1.66,-1.57,-2.03,-1.17,-2.04
19270426,0.41,0.65,0.44,0.93,0.41,0.03
19270427,-0.57,-0.17,-0.03,-0.17,-0.49,-0.32
19270428,-0.99,-1.16,-1.09,-1.1,-1,-1.7
19270429,0.49,0.47,0.43,0.7,0.31,0.39
19270430,0.06,0.33,0.09,0,0.04,-0.18
19270502,0.46,0.11,1.21,0.41,0.09,0.62
19270503,1.47,0.71,0.29,0.94,0.64,0.83
19270504,0.73,0.94,0.76,1,0.66,1.26
19270505,0.79,0.19,0.39,0.14,0.36,-0.02
19270506,-0.29,-0.01,0.97,0.18,0.23,0.66
19270507,0.74,0.55,0.16,0.26,0.46,-0.06
19270509,0.11,0.37,0.7,0.35,0.06,0.54
19270510,-0.13,-0.31,-0.09,-0.23,0.07,-0.02
19270511,-0.27,-0.36,-0.14,-0.3,-0.01,-0.36
19270512,-0.94,-0.6,0.02,-0.1,-0.1,-0.32
19270513,0.67,0.17,0.35,0.58,0.53,0.42
19270514,0.15,-0.01,0.44,-0.06,0.03,-0.26
19270516,-0.14,-0.37,-0.41,-0.91,-0.58,-1.06
19270517,0.92,0.1,1.01,0.53,0.41,0.87
19270518,-0.14,-0.19,0.15,0.8,0.15,0.68
19270519,-0.23,0.23,-0.67,0.13,0.17,0.27
19270520,0.32,-0.24,0.08,0.11,0.67,0.98
19270521,0.73,0.25,0.5,0.17,0.18,0.64
19270523,-0.1,0.42,1.13,-0.21,0.13,0.09
19270524,-0.8,0.11,1.02,-0.14,-0.04,-0.3
19270525,0.23,0.27,1.87,0.56,-0.1,-0.15
19270526,-0.05,-0.17,0.66,0,0.28,0.4
19270527,0.71,0.85,0.76,0.42,0.49,0.32
19270528,0.7,0.47,1.59,0.33,0.08,0.29
19270531,-0.21,-0.22,-0.02,0.33,0.14,0.96
19270601,-0.38,1.92,-0.24,0.47,0.2,0.82
19270602,-0.46,0.26,0.16,0.19,-0.04,0.1
19270603,-0.67,-0.92,-1.2,-0.91,-0.74,-1.7
19270604,0.43,0.48,0.83,0.53,0.33,0.54
19270606,0.16,0.25,2.04,0.42,0.51,0.94
19270607,-0.35,0.58,-0.15,-0.34,-0.33,-0.98
19270608,0.06,0.5,0.23,0.04,0.41,0.76
19270609,0.98,0.24,-0.47,0.17,-0.08,0.14
19270610,-0.14,-0.61,-0.2,-0.13,-0.43,-0.81
19270611,-0.27,-0.18,-0.57,-0.01,-0.05,-0.13
19270614,-1.02,-1.76,-2.24,-1.83,-1.26,-1.98
19270615,1,1.24,1.19,1.08,0.69,1.34
19270616,0.65,0.47,0.18,1.01,0.25,1.1
19270617,0.24,1.76,1.12,0.01,0.06,1.16
19270618,-0.42,0.3,0.48,-0.13,-0.17,0.13
19270620,0.7,0.1,-0.3,-0.25,-0.18,-0.42
19270621,-0.89,-0.47,-0.24,-0.29,-0.33,-0.04
19270622,0.45,0,-0.35,0.31,-0.21,-0.06
19270623,-0.81,-1.16,-2.14,-0.9,-0.68,-1.12
19270624,-0.05,0.27,0.45,0.37,-0.04,0.48
19270625,-0.01,-0.2,-0.16,-0.16,-0.11,0.17
19270627,-1.45,-2.11,-2.14,-1.27,-0.92,-1.86
19270628,0.38,0.62,0.08,0.49,0.22,0.46
19270629,0.26,0.07,-0.23,0.17,-0.08,-0.35
19270630,-0.08,-0.24,-0.17,0.03,-0.08,-0.25
19270701,0.87,0.46,0.82,0.78,0.68,0.61
19270702,0.76,0.39,1.24,0.64,0.43,0.49
19270705,0.36,0.82,0.37,0.99,0.53,1.25
19270706,0.86,0.69,0.71,0.46,0.64,0.46
19270707,-0.27,0.03,-0.17,-0.3,-0.06,-0.46
19270708,-0.78,-0.5,-0.45,-0.16,-0.11,-0.23
19270709,0.04,0.33,0.42,0.39,0.02,-0.19
19270711,-0.2,0.26,0.06,0.49,0.35,0.79
19270712,-0.58,0.25,0.31,0.3,0.48,0.46
19270713,1.17,0,0.49,0.04,0.59,0.41
19270714,0.84,0.21,-0.1,0.71,0.3,0.08
19270715,0.66,0.06,0.07,0.37,0.14,0.27
19270716,0.4,0.41,0.31,0.12,0.08,0.56
19270718,0.03,0.24,-0.03,0.27,0,0.42
19270719,-0.53,0.84,0.25,0.36,0.31,0.38
19270720,0.71,0.41,0.13,0.79,0.25,-0.13
19270721,0.08,0,-0.27,0.08,-0.04,-0.6
19270722,-0.09,-0.25,-0.31,-0.06,0.03,-0.37
19270723,0.36,0.23,0.56,0.28,-0.03,0.4
19270725,0.17,0,0.23,0.53,0.39,0.6
19270726,0.01,-0.15,0.01,0.42,0.2,0
19270727,-0.56,-0.13,-0.55,0.11,0.23,0.02
19270728,-0.08,0.08,-0.32,0.2,0.29,-0.04
19270729,0.02,0.26,0.61,0.76,0.34,0.62
19270730,0.05,0.2,-0.42,0.31,0.62,1.25
19270801,0.41,0.14,0.56,0.67,0.41,0.72
19270802,0.1,0.41,0.02,0.87,0.47,0.37
19270803,0.04,-0.51,-0.49,-0.57,-0.77,-0.95
19270804,0.73,0.45,0.99,1.17,0.79,1.13
19270805,-0.52,-0.49,-0.56,-0.7,-0.36,-1.43
19270806,0.4,0,-0.43,-0.19,-0.07,-0.08
19270808,-0.45,-0.33,-1.12,-1.16,-1.03,-1.6
19270809,0.78,0.23,1.55,0.97,0.93,1.07
19270810,0.14,0.07,0,0.27,0.35,-0.09
19270811,-1.06,-1.82,-1.39,-1.2,-0.66,-1.24
19270812,-1.61,-2.12,-2.72,-1.46,-1.55,-2.23
19270813,0.84,0.66,0.86,1.03,0.74,1.3
19270815,1,1.28,2.04,1.27,1.16,1.99
19270816,0.56,0.52,0.77,0.53,0.7,0.51
19270817,1.07,0.63,0.79,0.35,0.26,0.37
19270818,-0.16,-0.41,-0.04,0.01,0.17,-0.04
19270819,0.23,0.16,0.33,0.41,-0.06,-0.3
19270820,0.38,0.29,0.22,0.6,0.11,0.08
19270822,0.17,0.09,0.42,0.41,0.38,0.43
19270823,0.16,-0.16,0.25,-0.02,0.23,0.11
19270824,0.49,0.07,0.14,0.36,0.01,0.2
19270825,0.15,-0.45,-0.6,0.27,-0.16,-0.52
19270826,-0.35,0.06,0.01,0.52,-0.03,0.04
19270827,-0.09,0.29,0.14,0.03,-0.18,-0.44
19270829,-0.22,-0.23,0.4,-0.1,0.08,-0.07
19270830,-0.08,-0.54,-0.85,0.07,-0.04,-0.61
19270831,-0.73,-0.53,-0.25,-0.42,-0.67,-0.57
19270901,1.5,0.51,0.41,0.83,0.78,1.19
19270902,1.17,0.63,0.69,0.44,0.63,1.33
19270903,0.82,-0.01,0.31,0.65,0.37,0.51
19270906,-0.15,0.74,0.32,1,0.82,1.05
19270907,0.35,0.21,0.2,0.26,0.65,0.89
19270908,-0.7,0.47,-0.2,-0.07,0.16,-0.23
19270909,-0.74,-0.65,-1.06,-0.66,-0.25,-1.5
19270910,0.15,0.26,0.71,0.52,0.41,0.39
19270912,0.17,-0.24,-0.19,-0.48,-0.19,-0.8
19270913,0.91,0.53,0.38,1.43,1.15,1.54
19270914,0.07,-0.12,0.16,0.66,-0.12,0.13
19270915,-0.6,0.56,-0.11,0.37,0.18,-0.17
19270916,-0.17,-0.58,0.13,0.3,-0.07,0.2
19270917,0.14,-0.03,-0.3,-0.34,-0.22,-0.33
19270919,-0.6,-0.61,-0.6,-0.03,-0.72,-0.1
19270920,0.81,0.86,0.62,0.17,0.67,1.16
19270921,-0.43,0.23,0.02,-0.19,0.04,-0.67
19270922,-0.79,-1.07,-1.56,-1.26,-1.04,-1.37
19270923,0.51,0.36,0.63,0.61,0.34,0.72
19270924,0.54,0.16,0.34,0.8,0.58,0.65
19270926,-0.79,-0.75,-1,-1.14,-0.88,-0.87
19270927,-0.58,-0.12,-0.27,0.32,0.12,0.11
19270928,-0.34,-0.24,-0.19,-0.58,-0.23,0.19
19270929,0.27,0.49,-0.19,0.19,0.08,0.63
19270930,0.89,0.65,1.17,1.4,1.07,1.19
19271001,0.12,0.41,0.5,0.33,0.47,0.42
19271003,-0.03,0.08,0.71,0.19,0.67,0.56
19271004,0.19,-0.28,-1.1,-0.04,-0.76,-1.34
19271005,-0.24,-0.35,-0.29,-0.11,-0.38,-0.41
19271006,0.08,0.38,0.64,0.26,0.23,0.83
19271007,-0.12,-0.47,-0.78,-0.6,-0.87,-1.42
19271008,-0.74,-0.51,-0.15,-0.23,-0.4,-0.41
19271010,-1.04,-0.4,-1.18,-0.19,-0.74,-0.83
19271011,0.48,0.45,0.15,0.05,0.09,0.21
19271013,1.96,0.36,0.02,0.74,0.65,0.9
19271014,0.71,0.38,0.78,-0.06,0.04,-0.04
19271015,0.36,-0.13,0.87,0.17,-0.12,-0.15
19271017,-1.2,-0.92,-1.78,-1.44,-1.13,-1.41
19271018,-0.04,0.27,-0.41,0.43,0.4,0.62
19271019,-0.59,-0.38,-0.53,-1.2,-0.51,-0.38
19271020,-0.87,-1.06,-1.21,-1.34,-0.99,-0.5
19271021,0.24,0.36,-0.87,-0.89,-0.44,-1.38
19271022,-0.72,-0.67,-0.49,-0.8,-0.61,-0.46
19271024,0.46,0.44,-0.09,0.49,0.44,0.17
19271025,2.1,1.21,1.03,2.07,1.22,1.63
19271026,0.33,0.29,1.05,0.04,0.14,-0.53
19271027,0.02,-0.09,-0.26,-0.46,-0.4,-0.5
19271028,-0.84,-1.19,-2.34,-1.56,-1.43,-2.02
19271029,-1.41,-0.73,-1.11,-0.37,-0.58,-0.63
19271031,0.68,0.4,0.65,0.92,0.68,0.32
19271101,0.18,0.25,0.08,-0.18,0.17,0.23
19271102,0.49,0.12,0.57,1.13,0.94,0.69
19271103,0.62,0.88,1.02,1.06,1.37,1.24
19271104,-0.06,-0.04,0.33,-0.11,-0.02,-0.3
19271105,1.07,0.32,0.81,0.63,0.63,0.87
19271107,1.7,0.21,1.12,0.69,0.59,0.7
19271109,-0.1,-0.43,-0.97,-0.95,-0.7,-0.95
19271110,0.29,0.28,-0.13,0.2,0.39,-0.18
19271111,0.9,0.28,0.47,1.09,0.7,0.89
19271112,0.69,0.48,0.45,0.39,0.48,0.28
19271114,1.2,0.37,1.21,0.47,0.69,0.61
19271115,-0.78,0.34,0.51,0.06,0.3,0.16
19271116,0.41,0.67,0.34,0.05,-0.23,0.37
19271117,-0.17,0.84,0.28,0.18,0.22,-0.39
19271118,0.28,0.98,0.63,0.77,0.47,0.27
19271119,0.64,0.72,0.6,0.34,0.05,0.36
19271121,-0.59,-0.13,-0.34,-0.74,-0.53,-0.16
19271122,0.48,0.21,0.25,0.43,0.47,0.39
19271123,0.72,0.3,0.55,0.18,0.33,0.52
19271125,0.81,0.33,0.79,0.14,0.34,1.03
19271126,0.4,0.69,0.42,-0.03,0,-0.09
19271128,-0.75,-1.08,-0.3,-0.77,-0.68,-1.11
19271129,1.31,0.62,1.12,0.88,0.5,0.63
19271130,0.24,0.57,0.23,0.9,0.14,0.42
19271201,-0.71,-0.56,-0.8,-0.72,-0.17,-0.53
19271202,-0.16,-0.82,0.88,0.15,0.44,1.03
19271203,-0.09,0.28,0.43,0.54,0.34,0.46
19271205,-0.39,0.09,0.02,-0.36,-0.48,-0.49
19271206,0.09,0.56,0.01,0.12,-0.11,-0.29
19271207,0.04,-0.75,-1.04,-0.39,-0.67,-0.34
19271208,-0.53,-0.37,-0.99,-0.98,-0.9,-0.83
19271209,1.41,1.12,1.09,1.21,1.01,1.42
19271210,0.51,0.36,0.38,0.02,0.04,-0.26
19271212,1.79,1.1,0.93,0.66,0.43,0.35
19271213,0.65,0.01,-0.1,0.49,0.3,0.59
19271214,-0.25,-0.73,-0.25,-0.49,-0.31,-0.55
19271215,1.14,0.39,0.99,0.44,0.47,1.02
19271216,0.91,0.36,0.13,0.72,0.71,0.76
19271217,-0.71,0.53,0.21,0.03,0.04,0.41
19271219,0.26,0.64,0.17,0.46,0.09,-0.1
19271220,0.06,-0.29,0.01,-0.02,0.17,0.44
19271221,0.13,-0.25,0.05,-0.19,-0.02,0.39
19271222,-0.94,-0.42,-0.3,-0.01,0.07,-0.25
19271223,-0.26,0.25,-0.21,0.15,0.31,0.27
19271224,-0.33,0.16,0.54,0.22,0.02,0.17
19271227,0.15,-0.1,0.31,0.22,-0.1,-0.49
19271228,-0.72,-0.12,-0.77,-0.69,-0.62,-1.05
19271229,0.87,0.19,-0.94,0.29,0.21,-0.1
19271230,1.81,0.87,1.08,0.28,0.42,0.94
19271231,0.75,0.19,0.63,0.35,0.19,0.48
19280103,1.64,0.88,1.25,0.42,0.29,0.55
19280104,-0.07,0.54,0.24,-0.06,-0.33,-0.42
19280105,-0.88,-0.55,-0.84,-0.94,-0.57,-0.46
19280106,1.25,0.55,1.52,0.69,0.5,0.52
19280107,-0.61,0.24,0.42,0.19,0.15,-0.26
19280109,-1.22,-0.34,-1.04,-0.99,-0.73,-1.25
19280110,-1.53,-0.83,-1.47,-0.95,-0.66,-0.79
